44,121,1
24,59,0
37,90,1
31,60,1
30,79,0
38,103,1
29,82,0
15,11,1
1,27,1
32,71,1
31,80,0
36,110,0
21,38,1
41,96,1
43,132,1
22,59,0
2,21,1
32,78,1
49,165,1
2,19,1
3,22,1
29,72,0
29,66,1
16,31,1
49,182,0
11,21,1
16,32,1
4,46,0
25,42,1
2,32,0
21,46,1
19,45,0
7,38,0
47,158,0
10,27,1
7,33,0
27,70,0
46,158,0
20,46,0
26,74,0
34,85,1
44,136,1
28,56,1
7,31,0
1,25,0
29,62,1
5,34,0
48,169,0
28,48,1
2,32,0
38,119,0
17,21,1
21,60,0
21,69,0
37,77,1
34,71,1
36,101,0
23,62,0
34,78,1
38,110,0
7,41,0
46,158,0
3,23,1
39,101,1
25,62,0
33,98,0
12,39,0
39,107,1
35,75,1
23,46,1
41,128,0
24,40,1
14,19,1
41,114,1
39,102,1
37,123,0
6,38,0
7,42,0
37,105,0
0,27,0
29,56,1
10,38,0
28,62,1
7,10,1
40,103,1
28,67,1
36,88,1
16,19,1
12,51,0
30,66,1
25,56,1
23,48,1
41,143,0
45,146,0
31,94,0
9,10,1
27,66,0
34,103,0
43,120,1
28,50,1
